country,country_serial,metric,unit,sector,sub_sector,sub_sub_sector,source_link,source,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Algeria,1,Access to electricity (% population),%,Electricity,Access,,https://africa-energy-portal.org/database#main-content,Africa Energy Portal,98.6,98.6,98.6,98.6,98.6,98.6,98.7,98.7,99.3,98.8,98.9,99.0,98.8,99.2,99.3,99.4,99.4,99.5,99.6,99.5,99.7,99.8,100.0,,
Angola,2,Access to electricity (% population),%,Electricity,Access,,https://africa-energy-portal.org/database#main-content,Africa Energy Portal,24.2,20.0,26.3,27.4,28.4,29.4,30.5,37.5,38.5,33.8,35.0,34.6,37.3,38.4,32.0,42.0,41.8,42.9,45.3,45.6,47.0,48.2,48.5,,
Benin,3,Access to electricity (% population),%,Electricity,Access,,https://africa-energy-portal.org/database#main-content,Africa Energy Portal,21.5,21.9,23.4,24.3,25.2,26.1,27.9,28.0,29.0,30.0,34.2,36.9,38.4,34.7,34.1,29.6,37.0,34.5,39.0,40.0,41.0,42.0,56.5,,
Botswana,4,Access to electricity (% population),%,Electricity,Access,,https://africa-energy-portal.org/database#main-content,Africa Energy Portal,26.5,24.8,27.0,33.1,35.3,37.5,39.7,41.9,44.5,43.4,52.0,53.2,56.0,58.0,60.0,62.1,64.2,67.4,68.3,70.1,71.8,73.7,75.9,,
Burkina Faso,5,Access to electricity (% population),%,Electricity,Access,,https://africa-energy-portal.org/database#main-content,Africa Energy Portal,9.1,9.5,9.9,11.4,10.7,11.1,11.6,12.0,12.5,12.6,13.1,14.8,15.1,15.4,19.2,16.2,16.6,17.0,14.4,17.6,18.5,19.0,19.5,,
Burundi,6,Access to electricity (% population),%,Electricity,Access,,https://africa-energy-portal.org/database#main-content,Africa Energy Portal,2.5,2.8,3.1,3.4,3.7,3.2,2.7,4.7,4.8,5.4,5.3,6.2,6.5,6.9,7.0,7.9,8.5,9.3,9.5,9.8,9.1,10.2,10.3,,
Cameroon,7,Access to electricity (% population),%,Electricity,Access,,https://africa-energy-portal.org/database#main-content,Africa Energy Portal,41.0,46.2,44.0,45.1,47.1,47.2,49.0,48.2,50.6,51.7,52.8,53.7,55.2,56.3,56.8,58.6,59.8,60.9,62.2,63.2,64.3,65.4,71.0,,
Cape Verde,8,Access to electricity (% population),%,Electricity,Access,,https://africa-energy-portal.org/database#main-content,Africa Energy Portal,58.6,60.3,58.6,63.7,65.4,67.0,68.8,70.5,72.3,74.1,81.1,82.3,83.2,84.3,85.3,86.4,87.5,88.6,90.2,91.4,93.7,95.5,97.1,,
Central African Republic,9,Access to electricity (% population),%,Electricity,Access,,https://africa-energy-portal.org/database#main-content,Africa Energy Portal,6.0,5.7,6.1,6.6,7.0,7.4,7.8,8.4,7.5,9.4,9.8,10.4,11.0,11.5,12.0,12.7,13.4,14.1,14.6,14.3,15.4,15.7,15.7,,
Chad,10,Access to electricity (% population),%,Electricity,Access,,https://africa-energy-portal.org/database#main-content,Africa Energy Portal,3.1,3.4,3.8,4.1,3.5,4.8,5.1,5.5,5.9,6.3,6.4,9.0,7.8,8.1,8.4,7.7,9.2,10.9,10.1,8.4,10.9,11.3,11.7,,
Comoros,11,Access to electricity (% population),%,Electricity,Access,,https://africa-energy-portal.org/database#main-content,Africa Energy Portal,39.8,42.0,44.8,46.5,48.7,51.0,53.2,55.5,57.8,60.1,69.7,69.3,69.3,69.4,71.8,74.1,76.4,78.7,81.0,83.3,85.6,87.9,89.9,,
Côte d'Ivoire,14,Access to electricity (% population),%,Electricity,Access,,https://africa-energy-portal.org/database#main-content,Africa Energy Portal,48.7,49.7,51.4,51.5,52.4,58.9,60.2,55.3,60.3,57.3,58.4,55.8,55.8,61.5,61.9,62.6,64.3,65.6,67.1,68.6,69.9,71.1,70.4,,
