country,country_serial,metric,value,unit,sector,sub_sector,sub_sub_sector,source_link,source,year
Algeria,DZA,Access to Electricity,80.0,%,Electricity,Access,Population,https://africa-energy-portal.org/aep/country/algeria,Africa Energy Portal,2022
Algeria,DZA,Access to Electricity,1.0,%,Electricity,Access,Population,https://africa-energy-portal.org/aep/country/algeria,Africa Energy Portal,2022
Algeria,DZA,Access to Electricity,1.0,%,Electricity,Access,Population,https://africa-energy-portal.org/aep/country/algeria,Africa Energy Portal,2022
Algeria,DZA,Energy Indicator,80.0,%,Energy,General,National,https://africa-energy-portal.org/aep/country/algeria,Africa Energy Portal,2022
Algeria,DZA,Energy Indicator,50.0,%,Energy,General,National,https://africa-energy-portal.org/aep/country/algeria,Africa Energy Portal,2022
Algeria,DZA,Energy Indicator,20.0,%,Energy,General,National,https://africa-energy-portal.org/aep/country/algeria,Africa Energy Portal,2022
Algeria,DZA,Energy Indicator,20.0,%,Energy,General,National,https://africa-energy-portal.org/aep/country/algeria,Africa Energy Portal,2022
Algeria,DZA,Access to Electricity,80.0,%,Electricity,Access,Population,https://africa-energy-portal.org/aep/country/algeria,Africa Energy Portal,2022
Algeria,DZA,Access to Electricity,50.0,%,Electricity,Access,Population,https://africa-energy-portal.org/aep/country/algeria,Africa Energy Portal,2022
Algeria,DZA,Access to Electricity,80.0,%,Electricity,Access,Population,https://africa-energy-portal.org/aep/country/algeria,Africa Energy Portal,2022
Algeria,DZA,Access to Electricity,20.0,%,Electricity,Access,Population,https://africa-energy-portal.org/aep/country/algeria,Africa Energy Portal,2022
Algeria,DZA,Access to Electricity,50.0,%,Electricity,Access,Population,https://africa-energy-portal.org/aep/country/algeria,Africa Energy Portal,2022
Algeria,DZA,Access to Electricity,20.0,%,Electricity,Access,Population,https://africa-energy-portal.org/aep/country/algeria,Africa Energy Portal,2022
Angola,AGO,Access to Electricity,61.0,%,Electricity,Access,Population,https://africa-energy-portal.org/aep/country/angola,Africa Energy Portal,2020
Angola,AGO,Installed Capacity,18.2,GW,Electricity,Generation,Total,https://africa-energy-portal.org/aep/country/angola,Africa Energy Portal,2020
Angola,AGO,Installed Capacity,18.2,GW,Electricity,Generation,Total,https://africa-energy-portal.org/aep/country/angola,Africa Energy Portal,2020
Angola,AGO,Energy Consumption,45.0,toe,Energy,Consumption,Total,https://africa-energy-portal.org/aep/country/angola,Africa Energy Portal,2020
Angola,AGO,Renewable Capacity,18.2,GW,Renewables,Generation,Total,https://africa-energy-portal.org/aep/country/angola,Africa Energy Portal,2020
Angola,AGO,Hydro Capacity,18.2,GW,Renewables,Generation,Hydro,https://africa-energy-portal.org/aep/country/angola,Africa Energy Portal,2020
Angola,AGO,Energy Indicator,47.0,%,Energy,General,National,https://africa-energy-portal.org/aep/country/angola,Africa Energy Portal,2020
Angola,AGO,Energy Indicator,47.0,%,Energy,General,National,https://africa-energy-portal.org/aep/country/angola,Africa Energy Portal,2020
Angola,AGO,Energy Indicator,8.1,%,Energy,General,National,https://africa-energy-portal.org/aep/country/angola,Africa Energy Portal,2020
Benin,BEN,Access to Electricity,31.0,%,Electricity,Access,Population,https://africa-energy-portal.org/aep/country/benin,Africa Energy Portal,2022
Benin,BEN,Installed Capacity,1400.0,MW,Electricity,Generation,Total,https://africa-energy-portal.org/aep/country/benin,Africa Energy Portal,2022
Benin,BEN,Solar Energy,100.0,MW,Renewables,Generation,Total,https://africa-energy-portal.org/aep/country/benin,Africa Energy Portal,2022
Benin,BEN,Energy Indicator,42.0,%,Energy,General,National,https://africa-energy-portal.org/aep/country/benin,Africa Energy Portal,2022
Benin,BEN,Energy Indicator,42.0,%,Energy,General,National,https://africa-energy-portal.org/aep/country/benin,Africa Energy Portal,2022
Benin,BEN,Energy Indicator,18.0,%,Energy,General,National,https://africa-energy-portal.org/aep/country/benin,Africa Energy Portal,2022
Benin,BEN,Energy Indicator,18.0,%,Energy,General,National,https://africa-energy-portal.org/aep/country/benin,Africa Energy Portal,2022
Benin,BEN,Energy Indicator,67.0,%,Energy,General,National,https://africa-energy-portal.org/aep/country/benin,Africa Energy Portal,2022
Benin,BEN,Energy Indicator,67.0,%,Energy,General,National,https://africa-energy-portal.org/aep/country/benin,Africa Energy Portal,2022
Benin,BEN,Energy Indicator,5.8,%,Energy,General,National,https://africa-energy-portal.org/aep/country/benin,Africa Energy Portal,2022
Benin,BEN,Energy Indicator,5.8,%,Energy,General,National,https://africa-energy-portal.org/aep/country/benin,Africa Energy Portal,2022
Benin,BEN,Access to Electricity,42.0,%,Electricity,Access,Population,https://africa-energy-portal.org/aep/country/benin,Africa Energy Portal,2022
Benin,BEN,Access to Electricity,42.0,%,Electricity,Access,Population,https://africa-energy-portal.org/aep/country/benin,Africa Energy Portal,2022
Benin,BEN,Access to Electricity,18.0,%,Electricity,Access,Population,https://africa-energy-portal.org/aep/country/benin,Africa Energy Portal,2022
Benin,BEN,Access to Electricity,18.0,%,Electricity,Access,Population,https://africa-energy-portal.org/aep/country/benin,Africa Energy Portal,2022
Benin,BEN,Access to Electricity,67.0,%,Electricity,Access,Population,https://africa-energy-portal.org/aep/country/benin,Africa Energy Portal,2022
Benin,BEN,Access to Electricity,67.0,%,Electricity,Access,Population,https://africa-energy-portal.org/aep/country/benin,Africa Energy Portal,2022
Benin,BEN,Access to Electricity,5.8,%,Electricity,Access,Population,https://africa-energy-portal.org/aep/country/benin,Africa Energy Portal,2022
Benin,BEN,Access to Electricity,5.8,%,Electricity,Access,Population,https://africa-energy-portal.org/aep/country/benin,Africa Energy Portal,2022
Benin,BEN,Energy Indicator,42.0,%,Energy,General,National,https://africa-energy-portal.org/aep/country/benin,Africa Energy Portal,2022
Benin,BEN,Energy Indicator,42.0,%,Energy,General,National,https://africa-energy-portal.org/aep/country/benin,Africa Energy Portal,2022
Benin,BEN,Energy Indicator,42.0,%,Energy,General,National,https://africa-energy-portal.org/aep/country/benin,Africa Energy Portal,2022
Benin,BEN,Energy Indicator,42.0,%,Energy,General,National,https://africa-energy-portal.org/aep/country/benin,Africa Energy Portal,2022
Benin,BEN,Energy Indicator,42.0,%,Energy,General,National,https://africa-energy-portal.org/aep/country/benin,Africa Energy Portal,2022
Benin,BEN,Energy Indicator,42.0,%,Energy,General,National,https://africa-energy-portal.org/aep/country/benin,Africa Energy Portal,2022
Benin,BEN,Energy Indicator,42.0,%,Energy,General,National,https://africa-energy-portal.org/aep/country/benin,Africa Energy Portal,2022
Benin,BEN,Energy Indicator,42.0,%,Energy,General,National,https://africa-energy-portal.org/aep/country/benin,Africa Energy Portal,2022
Benin,BEN,Energy Indicator,42.0,%,Energy,General,National,https://africa-energy-portal.org/aep/country/benin,Africa Energy Portal,2022
Benin,BEN,Energy Indicator,42.0,%,Energy,General,National,https://africa-energy-portal.org/aep/country/benin,Africa Energy Portal,2022
Benin,BEN,Energy Indicator,42.0,%,Energy,General,National,https://africa-energy-portal.org/aep/country/benin,Africa Energy Portal,2022
Benin,BEN,Energy Indicator,42.0,%,Energy,General,National,https://africa-energy-portal.org/aep/country/benin,Africa Energy Portal,2022
Benin,BEN,Energy Indicator,42.0,%,Energy,General,National,https://africa-energy-portal.org/aep/country/benin,Africa Energy Portal,2022
Benin,BEN,Energy Indicator,42.0,%,Energy,General,National,https://africa-energy-portal.org/aep/country/benin,Africa Energy Portal,2022
Benin,BEN,Energy Indicator,42.0,%,Energy,General,National,https://africa-energy-portal.org/aep/country/benin,Africa Energy Portal,2022
Benin,BEN,Energy Indicator,42.0,%,Energy,General,National,https://africa-energy-portal.org/aep/country/benin,Africa Energy Portal,2022
Benin,BEN,Energy Indicator,42.0,%,Energy,General,National,https://africa-energy-portal.org/aep/country/benin,Africa Energy Portal,2022
Benin,BEN,Energy Indicator,42.0,%,Energy,General,National,https://africa-energy-portal.org/aep/country/benin,Africa Energy Portal,2022
Benin,BEN,Energy Indicator,42.0,%,Energy,General,National,https://africa-energy-portal.org/aep/country/benin,Africa Energy Portal,2022
Benin,BEN,Energy Indicator,42.0,%,Energy,General,National,https://africa-energy-portal.org/aep/country/benin,Africa Energy Portal,2022
Benin,BEN,Energy Indicator,42.0,%,Energy,General,National,https://africa-energy-portal.org/aep/country/benin,Africa Energy Portal,2022
Benin,BEN,Energy Indicator,42.0,%,Energy,General,National,https://africa-energy-portal.org/aep/country/benin,Africa Energy Portal,2022
Benin,BEN,Energy Indicator,42.0,%,Energy,General,National,https://africa-energy-portal.org/aep/country/benin,Africa Energy Portal,2022
Benin,BEN,Energy Indicator,42.0,%,Energy,General,National,https://africa-energy-portal.org/aep/country/benin,Africa Energy Portal,2022
Benin,BEN,Energy Indicator,42.0,%,Energy,General,National,https://africa-energy-portal.org/aep/country/benin,Africa Energy Portal,2022
Benin,BEN,Energy Indicator,42.0,%,Energy,General,National,https://africa-energy-portal.org/aep/country/benin,Africa Energy Portal,2022
